iter	RMSE
293	560.9787354
294	560.8015548
295	560.7099592
296	560.5534176
297	560.4338254
298	560.2898012
299	560.1837115
300	560.0713784
301	559.9669374
302	559.8557143
303	559.7387856
304	559.613609
305	559.5280239
306	559.4316206
307	559.3605288
308	559.2142749
309	559.1096274
310	559.0139214
311	558.9041871
312	558.7762474
313	558.6566135
314	558.5515182
315	558.4630076
316	558.3880859
317	558.3227399
318	558.2155912
319	558.1347549
320	558.0326324
321	557.9364102
322	557.860468
323	557.7402935
324	557.6272656
325	557.5668028
326	557.4802431
327	557.3710987
328	557.259877
329	557.2072498
330	557.1036392
331	556.980945
332	556.8764712
333	556.7426734
334	556.6082707
335	556.5247207
336	556.4399527
337	556.310562
338	556.2205716
339	556.1569518
340	556.0414022
341	555.9926901
342	555.9051926
343	555.8414225
344	555.7823759
345	555.7273305
346	555.6842684
347	555.5569369
348	555.4850393
349	555.4255145
350	555.3776701
351	555.3101176
352	555.2745268
353	555.2360146
354	555.1797591
355	555.1430588
356	555.0869845
357	555.0206919
358	554.9350907
359	554.8722743
360	554.8047433
361	554.7281934
362	554.659005
363	554.5702196
364	554.525356
365	554.4193264
366	554.3384266
367	554.2478549
368	554.1332716
369	554.0549657
370	553.9377756
371	553.8794907
372	553.8009902
373	553.7289117
374	553.6714112
375	553.624817
376	553.5778404
377	553.5222319
378	553.4782073
379	553.4432048
380	553.3917788
381	553.3402838
382	553.2357324
383	553.1447513
384	553.0716145
385	553.0132945
386	552.9729826
387	552.9269814
388	552.8816233
389	552.8264689
390	552.7969174
391	552.7783468
392	552.6882997
393	552.6630331
394	552.6251878
395	552.5509749
396	552.4622441
397	552.3950812
398	552.341131
399	552.2814753
400	552.1869257
401	552.1218236
402	552.0653597
403	552.0190075
404	551.9835954
405	551.9362296
406	551.8870778
407	551.8183403
408	551.7455249
409	551.6751156
410	551.6173885
411	551.5684456
412	551.5188958
413	551.4819216
414	551.4347989
415	551.3719476
416	551.3488058
417	551.2748282
418	551.2387636
419	551.1900067
420	551.1483248
421	551.1129277
422	551.0663863
423	550.9917109
424	550.9456933
425	550.8876609
426	550.8537785
427	550.7819991
428	550.7292137
429	550.6896605
430	550.6158473
431	550.57014
432	550.5274658
433	550.4920228
434	550.4376495
435	550.3564125
436	550.2989453
437	550.2374379
438	550.2058574
439	550.1547503
440	550.1156172
441	550.0556466
442	550.036312
443	549.9883774
444	549.8884431
445	549.8442817
446	549.7781135
447	549.6950023
448	549.6326253
449	549.5749966
450	549.5409497
451	549.5270125
452	549.4885103
453	549.4273902
454	549.4135829
455	549.3589358
456	549.329209
457	549.3075872
458	549.2554471
459	549.1974167
460	549.1767917
461	549.1316018
462	549.0700224
463	549.0292579
464	548.9760173
465	548.9368135
466	548.878896
467	548.8591432
468	548.802538
469	548.7711026
470	548.7376703
471	548.6696714
472	548.5824481
473	548.5612434
474	548.5278631
475	548.4401186
476	548.4088694
477	548.3834673
478	548.3492583
479	548.275909
480	548.2470893
481	548.2212345
482	548.1576845
483	548.0844947
484	548.0633235
485	548.0027044
486	547.9478954
487	547.9106514
488	547.8957437
489	547.8720908
490	547.8329635
491	547.7871367
492	547.7036757
493	547.6536167
494	547.6125165
495	547.5547322
496	547.5207092
497	547.4665105
498	547.4333595
499	547.4102064
500	547.362501
501	547.3135295
502	547.2697647
503	547.2286268
504	547.1563454
505	547.1427719
506	547.0978806
507	547.0654817
508	547.0072639
509	546.9768527
510	546.9351889
511	546.8740517
512	546.8276732
513	546.7794122
514	546.7261719
515	546.6664901
516	546.6404555
517	546.5866936
518	546.5318993
519	546.4895336
520	546.4265792
521	546.4086783
522	546.3899978
523	546.3522026
524	546.3354905
525	546.3088835
526	546.3032108
527	546.2629768
528	546.2303006
529	546.2144208
530	546.1926903
531	546.170835
532	546.142341
533	546.0655782
534	546.0153967
535	545.9644826
536	545.9346906
537	545.9185144
538	545.8890099
539	545.8328525
540	545.7854648
541	545.7471564
542	545.7097738
543	545.6940823
544	545.6641131
545	545.6119922
546	545.5706821
547	545.5327712
548	545.4652925
549	545.3871266
550	545.3459033
551	545.3192183
552	545.2558208
553	545.2431092
554	545.169775
555	545.1257275
556	545.1052705
557	545.0761317
558	545.0237347
559	545.0049222
560	544.9749713
561	544.9661163
562	544.9423901
563	544.9267698
564	544.9071894
565	544.8672961
566	544.8297804
567	544.797393
568	544.7741062
569	544.7220596
570	544.6883985
571	544.662017
572	544.6115246
573	544.5800318
574	544.5378305
575	544.524406
576	544.4733839
577	544.4526974
578	544.4275987
579	544.3688267
580	544.3488753
581	544.2802041
582	544.2262308
583	544.1499528
584	544.1325441
585	544.1014217
586	544.0692624
587	544.0529637
588	544.0323342
589	543.9966294
590	543.9793464
591	543.9666697
592	543.9287395
593	543.9125791
594	543.8203531
595	543.7842636
596	543.7532426
597	543.6967291
598	543.6408909
599	543.5801591
600	543.5381703
601	543.5310592
602	543.5069516
603	543.4672479
604	543.4318928
605	543.3997465
606	543.3501943
607	543.3023485
608	543.2260491
609	543.1663715
610	543.1314419
611	543.0848341
612	543.0726079
613	543.022298
614	542.9398806
615	542.9054798
616	542.8712476
617	542.8432443
618	542.8007378
619	542.7946157
620	542.7161037
621	542.6863602
622	542.6621074
623	542.6239651
624	542.5937424
625	542.5667366
626	542.5439256
627	542.4996405
628	542.4608999
629	542.4313723
630	542.3707504
631	542.3607244
632	542.3174019
633	542.271703
634	542.2526866
635	542.2005602
636	542.1700843
637	542.1550234
638	542.0643378
639	542.0358823
640	542.0111588
641	541.984596
642	541.9653053
643	541.9531918
644	541.8970849
645	541.8563357
646	541.8156988
647	541.7776513
648	541.7132556
649	541.6365421
650	541.5490445
651	541.5339128
652	541.5128416
653	541.4653132
654	541.4370222
655	541.3924116
656	541.3712195
657	541.2847952
658	541.2120384
659	541.1726861
660	541.166036
661	541.1066359
662	541.0672184
663	541.0215606
664	541.0070107
665	540.9865155
666	540.9331967
667	540.9278878
668	540.9221116
669	540.8998864
670	540.8939012
671	540.8647859
672	540.804648
673	540.7411556
674	540.6985949
675	540.6640283
676	540.6256494
677	540.6174417
678	540.5455525
679	540.4674897
680	540.4448768
681	540.4039374
682	540.3773722
683	540.3295065
684	540.2415157
685	540.2118017
686	540.1916613
687	540.1530364
688	540.0729613
689	539.9833001
690	539.9639109
691	539.9502495
692	539.935471
693	539.8643406
694	539.8008332
695	539.6580576
696	539.6355456
697	539.6102929
698	539.5380723
699	539.5330046
